Rank,Movie,Cast,Year,IMDB Rating
1,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",1994,9.2
2,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",1972,9.2
3,The Godfather: Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",1974,9
4,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",2008,9
5,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",1957,8.9
6,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",1993,8.9
7,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",2003,8.9
8,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",1994,8.9
9,"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",1966,8.8
10,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",1999,8.8
11,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2001,8.8
12,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",1994,8.7
13,Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",1980,8.7
14,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",2010,8.7
15,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2002,8.7
16,One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",1975,8.7
17,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",1990,8.7
18,The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",1999,8.6
19,Shichinin no samurai,"Akira Kurosawa (dir.), ToshirÌ« Mifune, Takashi Shimura",1954,8.6
20,Cidade de Deus,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",2002,8.6
21,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",1995,8.6
22,Star Wars,"George Lucas (dir.), Mark Hamill, Harrison Ford",1977,8.6
23,The Silence of the Lambs,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",1991,8.6
24,It's a Wonderful Life,"Frank Capra (dir.), James Stewart, Donna Reed",1946,8.6
25,La vita Ì¬ bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",1997,8.6
26,The Usual Suspects,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",1995,8.5
27,Sen to Chihiro no kamikakushi,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",2001,8.5
28,Saving Private Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",1998,8.5
29,LÌ©on,"Luc Besson (dir.), Jean Reno, Gary Oldman",1994,8.5
30,The Green Mile,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",1999,8.5
31,Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",2014,8.5
32,Psycho,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",1960,8.5
33,American History X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",1998,8.5
34,City Lights,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",1931,8.5
35,Once Upon a Time in the West,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",1968,8.5
36,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",1942,8.5
37,Modern Times,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1936,8.5
38,The Intouchables,"Olivier Nakache (dir.), FranÌ¤ois Cluzet, Omar Sy",2011,8.5
39,The Pianist,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",2002,8.5
40,The Departed,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",2006,8.5
41,Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1991,8.5
42,Back to the Future,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",1985,8.5
43,Whiplash,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",2014,8.5
44,Rear Window,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",1954,8.5
45,Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",1981,8.5
46,Gladiator,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",2000,8.5
47,The Lion King,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",1994,8.5
48,The Prestige,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",2006,8.5
49,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",2018,8.4
